Moving file/folder 1SG-NL-cKFPpaupYrdh1BjAaz1i7sDUrB, name: {'name': 'A022C705_150522KH_CANON.MXF', 'size': '156.44GB', 'bytes': 167975147247, 'type': 'application/octet-stream', 'files': 119, 'folders': 19, 'id': '1SG-NL-cKFPpaupYrdh1BjAaz1i7sDUrB', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1GkZqWednA3Gtx4uyJ1pJlTzatuoIfNWn
Moving file/folder 1wsOwK439jhsOjrORnQ9zgVT_0oE3lDC7, name: {'name': 'A019C710_150523UZ_CANON.MXF', 'size': '180.4GB', 'bytes': 193697781535, 'type': 'application/octet-stream', 'files': 120, 'folders': 19, 'id': '1wsOwK439jhsOjrORnQ9zgVT_0oE3lDC7', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1GkZqWednA3Gtx4uyJ1pJlTzatuoIfNWn
Moving file/folder 1Ikts_aCsvu8DMmhUtar4tnn4zT6GypKp, name: {'name': 'A024C717_150607PT_CANON.MXF', 'size': '199.36GB', 'bytes': 214056260431, 'type': 'application/octet-stream', 'files': 121, 'folders': 19, 'id': '1Ikts_aCsvu8DMmhUtar4tnn4zT6GypKp', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1GkZqWednA3Gtx4uyJ1pJlTzatuoIfNWn
Moving file/folder 1vrverwiR3KxzVWK8s-ZwlnkPGqIPUlA6, name: {'name': 'A005_09282206_C001.mov', 'size': '199.98GB', 'bytes': 214722196707, 'type': 'video/quicktime', 'files': 122, 'folders': 19, 'id': '1vrverwiR3KxzVWK8s-ZwlnkPGqIPUlA6', 'parents': ['1-mHBTalk_k5Vc3njVFczxOEEdGZKuCQS']}, to new folder, 1GkZqWednA3Gtx4uyJ1pJlTzatuoIfNWn
Moving file/folder 1k8meMeAWODXjMY-tXNV4rE249hHJTvVK, name: {'name': 'SPECIAL INTEREST CLASSES.mp4', 'size': '200.0GB', 'bytes': 214743220806, 'type': 'video/mp4', 'files': 123, 'folders': 19, 'id': '1k8meMeAWODXjMY-tXNV4rE249hHJTvVK', 'parents': ['1Q4S0TSF9Q5Z-EHFK9hJC7Ypy43e4kF61']}, to new folder, 1GkZqWednA3Gtx4uyJ1pJlTzatuoIfNWn
Moving file/folder 1GZWiwo6N6NxneE9lMHomYGGnxQeTLB9q, name: {'name': 'Marco Garcia.mp4', 'size': '200.0GB', 'bytes': 214747126939, 'type': 'video/mp4', 'files': 124, 'folders': 19, 'id': '1GZWiwo6N6NxneE9lMHomYGGnxQeTLB9q', 'parents': ['1EjyI1nDsAl7ted5MNRjTshZspTTNoaL4']}, to new folder, 1GkZqWednA3Gtx4uyJ1pJlTzatuoIfNWn
Moving file/folder 1UNUaO_4NTMRYeFXIb-wIgAiYLiApEePi, name: {'name': 'Thumbnail_Vimeo.jpg', 'size': '200.0GB', 'bytes': 214748289766, 'type': 'image/jpeg', 'files': 125, 'folders': 19, 'id': '1UNUaO_4NTMRYeFXIb-wIgAiYLiApEePi', 'parents': ['1KsYZpm2VomelKbrIeeQVLlQey6nDVBh7']}, to new folder, 1GkZqWednA3Gtx4uyJ1pJlTzatuoIfNWn
Moving file/folder 1aIjcLN_KKxzU9ewVHg0Ry_YgXdzcOCt6, name: {'name': 'Interview_Melts-3.prproj', 'size': '200.0GB', 'bytes': 214748360922, 'type': 'application/x-gzip', 'files': 126, 'folders': 19, 'id': '1aIjcLN_KKxzU9ewVHg0Ry_YgXdzcOCt6', 'parents': ['18hlCRLNp8jOgnEEtwUXYDNvdWUty3Unn']}, to new folder, 1GkZqWednA3Gtx4uyJ1pJlTzatuoIfNWn
Moving file/folder 1zw0tkPPJ4X8x2IL9PFlQJy5hqTVf5XJT, name: {'name': 'A019C712_150523SS_CANON.MXF', 'size': '223.66GB', 'bytes': 240157072650, 'type': 'application/octet-stream', 'files': 127, 'folders': 19, 'id': '1zw0tkPPJ4X8x2IL9PFlQJy5hqTVf5XJT', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 1de5drmxulRbACauIPmc-ZEuIXekHgTqW, name: {'name': 'b-roll', 'size': '244.7GB', 'bytes': 262741876514, 'type': 'Folder', 'files': 208, 'folders': 20, 'id': '1de5drmxulRbACauIPmc-ZEuIXekHgTqW', 'parents': ['1nRnNvbCY-HiVjl9Pon9WcHF9J0CqIntY']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 1363UeemUoE5dr9U4afqrLooIj-PlJSt2, name: {'name': 'A024C718_150607GN_CANON.MXF', 'size': '263.35GB', 'bytes': 282767916882, 'type': 'application/octet-stream', 'files': 209, 'folders': 20, 'id': '1363UeemUoE5dr9U4afqrLooIj-PlJSt2', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 12eLeSzR0f3lqCmZTWbHbr4Cy9s6N_IvD, name: {'name': 'A022C702_1505224G_CANON.MXF', 'size': '281.17GB', 'bytes': 301908734850, 'type': 'application/octet-stream', 'files': 210, 'folders': 20, 'id': '12eLeSzR0f3lqCmZTWbHbr4Cy9s6N_IvD', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 1NBMne7cYAMjht4eJb7C4YmvXNRCCU6e3, name: {'name': 'A021C709_150523FP_CANON.MXF', 'size': '298.4GB', 'bytes': 320406138802, 'type': 'application/octet-stream', 'files': 211, 'folders': 20, 'id': '1NBMne7cYAMjht4eJb7C4YmvXNRCCU6e3', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 1IScuuyQnguLKVrKwW2PkKS-Zv22Hpdqp, name: {'name': 'A019C711_1505230U_CANON.MXF', 'size': '299.56GB', 'bytes': 321652980706, 'type': 'application/octet-stream', 'files': 212, 'folders': 20, 'id': '1IScuuyQnguLKVrKwW2PkKS-Zv22Hpdqp', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 12PddC7ef_b50wVjB3l4Y0exCrZEnLRwd, name: {'name': 'A005_09282207_C002.mov', 'size': '300.0GB', 'bytes': 322118817758, 'type': 'video/quicktime', 'files': 213, 'folders': 20, 'id': '12PddC7ef_b50wVjB3l4Y0exCrZEnLRwd', 'parents': ['1-mHBTalk_k5Vc3njVFczxOEEdGZKuCQS']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 19PkqohvJWFhlR68Lx7VIZN0_R3roNwYw, name: {'name': 'SAKRITI.mp3', 'size': '300.0GB', 'bytes': 322122344153, 'type': 'audio/mp3', 'files': 214, 'folders': 20, 'id': '19PkqohvJWFhlR68Lx7VIZN0_R3roNwYw', 'parents': ['1NQDgwAS9-hmmIaNYrmqF9B__UgLp7mq2']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 1P0hNz_DNZbe1oY9T9CPNnUh2OtLUVNLB, name: {'name': '0b02dbbc-08d7-4141-ac49-09187473ab21+868c7dc0-73f2-0f05-2f68-d77400000049 48000.pek', 'size': '300.0GB', 'bytes': 322122526493, 'type': 'application/octet-stream', 'files': 215, 'folders': 20, 'id': '1P0hNz_DNZbe1oY9T9CPNnUh2OtLUVNLB', 'parents': ['19K-V_o816rL3qrYpuhpVWmaLAXkrXuPM']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 1Y_EjKx8hMG8ocnxLVTs9FHTvDpFdbIsg, name: {'name': '.DS_Store', 'size': '300.0GB', 'bytes': 322122534689, 'type': 'application/octet-stream', 'files': 216, 'folders': 20, 'id': '1Y_EjKx8hMG8ocnxLVTs9FHTvDpFdbIsg', 'parents': ['1rbz6Lv3sQpAnEebm5L7taLOOiMB8_DsX']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 1qctOI_32FPAW52dX9n05QCJEST2AqaIj, name: {'name': '.DS_Store', 'size': '300.0GB', 'bytes': 322122540837, 'type': 'application/octet-stream', 'files': 217, 'folders': 20, 'id': '1qctOI_32FPAW52dX9n05QCJEST2AqaIj', 'parents': ['1NQDgwAS9-hmmIaNYrmqF9B__UgLp7mq2']}, to new folder, 1dXn30Vshr6JRchAmjZy0GgBvpT3B7MiO
Moving file/folder 10Abkf1AW4x5nWA2hXrqPi9vGiJ7R1FnG, name: {'name': 'A023C715_150523DS_CANON.MXF', 'size': '314.87GB', 'bytes': 338087190869, 'type': 'application/octet-stream', 'files': 218, 'folders': 20, 'id': '10Abkf1AW4x5nWA2hXrqPi9vGiJ7R1FnG', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1JC9jxGPFX1FkOL0_2jwk0h0agVtam6cx
Moving file/folder 1u0XWq87LKTU70Zl9nRxF45Wwrr5EYvra, name: {'name': 'SHELLHOUSE_SLIDERS', 'size': '327.69GB', 'bytes': 351857669700, 'type': 'Folder', 'files': 245, 'folders': 21, 'id': '1u0XWq87LKTU70Zl9nRxF45Wwrr5EYvra', 'parents': ['1WF9Jcv81PEdHFR5THMBvAjJJ59wrdSGU']}, to new folder, 1JC9jxGPFX1FkOL0_2jwk0h0agVtam6cx
Moving file/folder 1MGAAE7_OYb8ju0FYy05vUfNdVfuIEJEg, name: {'name': 'COLORED_SELECTS', 'size': '339.88GB', 'bytes': 364939904004, 'type': 'Folder', 'files': 287, 'folders': 22, 'id': '1MGAAE7_OYb8ju0FYy05vUfNdVfuIEJEg', 'parents': ['1WF9Jcv81PEdHFR5THMBvAjJJ59wrdSGU']}, to new folder, 1JC9jxGPFX1FkOL0_2jwk0h0agVtam6cx
Moving file/folder 1s147dvQsSNLWmYWpl8hbCr82eD7_tgZ8, name: {'name': 'Fitness', 'size': '349.63GB', 'bytes': 375417622433, 'type': 'Folder', 'files': 318, 'folders': 28, 'id': '1s147dvQsSNLWmYWpl8hbCr82eD7_tgZ8', 'parents': ['1W6gFHbu_tGncIOhUwnRLBDv7GEXGqP8i']}, to new folder, 1JC9jxGPFX1FkOL0_2jwk0h0agVtam6cx
Moving file/folder 1S3aKfCaeloe-aVgl5q_VugJOXmYpdyrI, name: {'name': '2021-22', 'size': '358.83GB', 'bytes': 385289287964, 'type': 'Folder', 'files': 341, 'folders': 30, 'id': '1S3aKfCaeloe-aVgl5q_VugJOXmYpdyrI', 'parents': ['1ecoYrzCJKbnbzOgDiPm91nnPL8_G6t_n']}, to new folder, 1JC9jxGPFX1FkOL0_2jwk0h0agVtam6cx
Moving file/folder 16HSPkVh_3elGQx840kgZXz1IR9YJVstb, name: {'name': 'A023C714_1505239E_CANON.MXF', 'size': '369.03GB', 'bytes': 396239245132, 'type': 'application/octet-stream', 'files': 342, 'folders': 30, 'id': '16HSPkVh_3elGQx840kgZXz1IR9YJVstb', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1JC9jxGPFX1FkOL0_2jwk0h0agVtam6cx
Moving file/folder 16CYjVClw3TAoa4uvkN3sTTfK29UhesjN, name: {'name': 'Marketing videos', 'size': '375.44GB', 'bytes': 403130883109, 'type': 'Folder', 'files': 348, 'folders': 34, 'id': '16CYjVClw3TAoa4uvkN3sTTfK29UhesjN', 'parents': ['1W6gFHbu_tGncIOhUwnRLBDv7GEXGqP8i']}, to new folder, 1JC9jxGPFX1FkOL0_2jwk0h0agVtam6cx
Moving file/folder 1y4PzrdS1WmYdbJNhSwifvekDZwgeAYpn, name: {'name': 'A022C706_150522II_CANON.MXF', 'size': '381.63GB', 'bytes': 409774569557, 'type': 'application/octet-stream', 'files': 349, 'folders': 34, 'id': '1y4PzrdS1WmYdbJNhSwifvekDZwgeAYpn', 'parents': ['1psK7gvfjXs_WquSDCRyj-Z4Y6ZwWhroZ']}, to new folder, 1JC9jxGPFX1FkOL0_2jwk0h0agVtam6cx
